indicator,road,date,forecast,lower_95,upper_95
train_km,Окт,2026-01-01,14490864.39557746,12382470.57202346,16599258.21913146
train_km,Окт,2026-02-01,18162705.33077772,16054311.50722372,20271099.154331718
train_km,Окт,2026-03-01,17640740.038500257,15532346.214946257,19749133.862054255
train_km,Окт,2026-04-01,15678683.83574455,13570290.01219055,17787077.65929855
train_km,Окт,2026-05-01,15356786.535832211,13248392.712278211,17465180.35938621
train_km,Окт,2026-06-01,15241606.665078169,13133212.841524169,17350000.48863217
train_km,Окт,2026-07-01,14557967.309421778,12449573.485867778,16666361.132975778
train_km,Окт,2026-08-01,14654350.475159284,12545956.651605284,16762744.298713284
train_km,Окт,2026-09-01,13461379.08263389,11352985.25907989,15569772.90618789
train_km,Окт,2026-10-01,13256107.315853624,11147713.492299624,15364501.139407624
train_km,Окт,2026-11-01,13619487.371532228,11511093.547978228,15727881.195086228
train_km,Окт,2026-12-01,13768378.884867083,11659985.061313083,15876772.708421083
train_km,Клнг,2026-01-01,3172343.3281946285,2331703.26905086,4012983.387338397
train_km,Клнг,2026-02-01,3422862.4624981056,2582222.403354337,4263502.521641874
train_km,Клнг,2026-03-01,3367224.644711644,2526584.5855678753,4207864.703855412
train_km,Клнг,2026-04-01,3421063.6806256594,2580423.621481891,4261703.739769428
train_km,Клнг,2026-05-01,3555642.0503029497,2715001.991159181,4396282.109446718
train_km,Клнг,2026-06-01,4293311.261395327,3452671.202251558,5133951.320539095
train_km,Клнг,2026-07-01,3200956.389141195,2360316.3299974264,4041596.4482849636
train_km,Клнг,2026-08-01,3009569.3331608446,2168929.274017076,3850209.3923046133
train_km,Клнг,2026-09-01,3067712.907546639,2227072.8484028704,3908352.9666904076
train_km,Клнг,2026-10-01,2808929.395819055,1968289.3366752863,3649569.4549628235
train_km,Клнг,2026-11-01,3077560.4252095977,2236920.366065829,3918200.4843533663
train_km,Клнг,2026-12-01,3187587.7902995385,2346947.73115577,4028227.849443307
train_km,Заб,2026-01-01,10401154.0618452,8300979.997783943,12501328.125906456
train_km,Заб,2026-02-01,13656506.977678088,11556332.913616832,15756681.041739345
train_km,Заб,2026-03-01,11273408.301430872,9173234.237369616,13373582.365492128
train_km,Заб,2026-04-01,10907456.071360039,8807282.007298782,13007630.135421295
train_km,Заб,2026-05-01,11731587.263461312,9631413.199400056,13831761.327522568
train_km,Заб,2026-06-01,9994272.914919911,7894098.850858654,12094446.978981167
train_km,Заб,2026-07-01,10239778.085847665,8139604.021786408,12339952.149908923
train_km,Заб,2026-08-01,9114465.70964887,7014291.645587613,11214639.773710128
train_km,Заб,2026-09-01,8391261.658221029,6291087.594159772,10491435.722282287
train_km,Заб,2026-10-01,8302722.197980427,6202548.13391917,10402896.262041684
train_km,Заб,2026-11-01,10319887.526738038,8219713.462676781,12420061.590799294
train_km,Заб,2026-12-01,10615536.131568275,8515362.067507017,12715710.195629533
train_km,Двост,2026-01-01,10468279.403591087,7743433.887036031,13193124.920146143
train_km,Двост,2026-02-01,9684289.604411457,6959444.087856401,12409135.120966513
train_km,Двост,2026-03-01,11750091.687879361,9025246.171324305,14474937.204434417
train_km,Двост,2026-04-01,11456519.31644569,8731673.799890634,14181364.833000746
train_km,Двост,2026-05-01,11475205.73451945,8750360.217964394,14200051.251074506
train_km,Двост,2026-06-01,11060541.626751255,8335696.110196199,13785387.143306311
train_km,Двост,2026-07-01,9649992.585415004,6925147.068859948,12374838.10197006
train_km,Двост,2026-08-01,9600343.73799543,6875498.221440375,12325189.254550487
